year;month;day;hour;minute;doy;NEE;GPP;Reco;H;Gflux;Rnet;Qc_NEE;Qc_H;LE;ET;NEE_1;GPP_1;GPP_2;GPP_3;GPP_4;Reco_1;Reco_2;Reco_3;Reco_4;Qc_NEE_1;Qc_ET
2018;1;1;0;0;1.000;0.626;0.047;0.673;-3.755;-2.476;NaN;0;0;6.097;0.135;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;0;30;1.021;0.226;0.448;0.674;-16.763;-2.473;NaN;0;0;7.813;0.173;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;1;0;1.042;0.186;0.488;0.674;-6.616;-2.474;NaN;0;0;5.149;0.114;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;1;30;1.062;0.674;0.000;0.674;-7.020;-2.473;NaN;1;0;13.955;0.309;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;2;0;1.083;0.511;0.163;0.674;-14.222;-2.466;NaN;0;0;16.935;0.375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;2;30;1.104;0.324;0.350;0.674;-5.191;-2.465;NaN;0;0;6.322;0.140;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;3;0;1.125;0.264;0.410;0.674;-24.816;-2.466;NaN;0;0;14.949;0.331;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;3;30;1.146;1.285;-0.612;0.673;-32.109;-2.465;NaN;0;0;25.972;0.575;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;4;0;1.167;-0.201;0.875;0.674;-25.478;-2.465;NaN;0;0;12.829;0.284;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;4;30;1.188;1.239;-0.566;0.673;-23.920;-2.465;NaN;0;0;25.567;0.566;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;5;0;1.208;0.399;0.275;0.674;-26.443;-2.464;NaN;0;0;15.766;0.349;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;5;30;1.229;0.540;0.133;0.673;-26.179;-2.464;NaN;0;0;14.908;0.330;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;6;0;1.250;0.620;0.054;0.674;-25.650;-2.464;NaN;0;0;10.707;0.237;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;6;30;1.271;0.527;0.147;0.674;-20.702;-2.462;NaN;0;0;12.018;0.266;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;7;0;1.292;0.514;0.160;0.674;-11.842;-2.463;NaN;0;0;9.036;0.200;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;7;30;1.312;-0.117;0.791;0.674;-6.951;-2.459;NaN;0;0;-1.807;-0.040;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;8;0;1.333;0.683;-0.009;0.674;-10.322;-2.454;NaN;0;1;4.608;0.102;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;8;30;1.354;0.232;0.442;0.674;-13.692;-2.454;NaN;0;0;6.776;0.150;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;9;0;1.375;0.751;-0.077;0.674;-10.927;-2.455;NaN;0;1;9.846;0.218;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;9;30;1.396;0.244;0.430;0.674;-8.163;-2.454;NaN;0;1;6.774;0.150;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;10;0;1.417;0.407;0.267;0.674;-5.398;-2.454;NaN;0;0;5.825;0.129;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;10;30;1.438;0.204;0.469;0.673;-6.671;-2.454;NaN;0;0;3.341;0.074;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;11;0;1.458;0.622;0.052;0.674;-9.206;-2.455;NaN;0;0;8.849;0.196;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;11;30;1.479;0.272;0.402;0.674;-3.028;-2.454;NaN;0;0;6.004;0.133;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2018;1;1;12;0;1.500;0.628;0.045;0.673;-3.501;-2.454;NaN;0;0;4.514;0.100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
