ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2010
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2011
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2012
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2013
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2014
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2010
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2011
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2012
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2013
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2014
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.06856,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0718286,2010
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0745,2011
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0703143,2012
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0663889,2013
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0635125,2014
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,48.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.0681375,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2010
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0717667,2010
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2011
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0739,2011
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2012
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0697,2012
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2013
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0660333,2013
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,48.75,2014
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0633714,2014
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,48.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.0681375,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2010
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0717667,2010
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2011
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0739,2011
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2012
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0697,2012
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2013
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0660333,2013
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,48.75,2014
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0633714,2014
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,48.75,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.0681375,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2010
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0717667,2010
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2011
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0739,2011
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2012
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0697,2012
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2013
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0660333,2013
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,48.75,2014
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0633714,2014
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,46.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.0671667,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2010
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.0717667,2010
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2011
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.0739,2011
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2012
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.0697,2012
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2013
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.0660333,2013
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,48.75,2014
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.0633714,2014
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,51.25,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.0688625,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,28.75,2010
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.067775,2010
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,28.75,2011
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.0674429,2011
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,28.75,2012
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.0635,2012
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,28.75,2013
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.0595,2013
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,28.75,2014
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.0567556,2014
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,88.75,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.0969074,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,88.75,2010
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.09652,2010
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,88.75,2011
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.115978,2011
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,88.75,2012
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.10347,2012
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,88.75,2013
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.0988076,2013
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,88.75,2014
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.08115,2014
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,88.75,-9999
17,RECO_NT_CUT_REF,DD_USTAR_THRESHOLD,0.0969074,-9999
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,88.75,2010
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.09652,2010
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,88.75,2011
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.115978,2011
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,88.75,2012
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.10347,2012
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,88.75,2013
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.0988076,2013
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,88.75,2014
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.08115,2014
19,RECO_NT_CUT_REF,WW_USTAR_PERCENTILE,53.75,-9999
19,RECO_NT_CUT_REF,WW_USTAR_THRESHOLD,0.0693857,-9999
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,88.75,2010
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.09652,2010
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,88.75,2011
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.115978,2011
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,88.75,2012
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.10347,2012
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,88.75,2013
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.0988076,2013
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,88.75,2014
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.08115,2014
21,RECO_NT_CUT_REF,MM_USTAR_PERCENTILE,53.75,-9999
21,RECO_NT_CUT_REF,MM_USTAR_THRESHOLD,0.0693857,-9999
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2010
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.0701625,2010
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2011
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.07228,2011
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2012
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.06856,2012
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2013
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.0647,2013
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2014
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.06226,2014
23,RECO_NT_CUT_REF,YY_USTAR_PERCENTILE,76.25,-9999
23,RECO_NT_CUT_REF,YY_USTAR_THRESHOLD,0.0826,-9999
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,71.25,2010
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.0847692,2010
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,71.25,2011
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.0924444,2011
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,71.25,2012
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.08186,2012
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,71.25,2013
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.0769833,2013
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,71.25,2014
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.0693625,2014
25,GPP_NT_CUT_REF,HH_USTAR_PERCENTILE,53.75,-9999
25,GPP_NT_CUT_REF,HH_USTAR_THRESHOLD,0.0693857,-9999
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2010
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.0701625,2010
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2011
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.07228,2011
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2012
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.06856,2012
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2013
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.0647,2013
26,GPP_NT_VUT_REF,HH_USTAR_PERCENTILE,43.75,2014
26,GPP_NT_VUT_REF,HH_USTAR_THRESHOLD,0.06226,2014
27,GPP_NT_CUT_REF,DD_USTAR_PERCENTILE,53.75,-9999
27,GPP_NT_CUT_REF,DD_USTAR_THRESHOLD,0.0693857,-9999
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2010
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.0701625,2010
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2011
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.07228,2011
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2012
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.06856,2012
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2013
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.0647,2013
28,GPP_NT_VUT_REF,DD_USTAR_PERCENTILE,43.75,2014
28,GPP_NT_VUT_REF,DD_USTAR_THRESHOLD,0.06226,2014
29,GPP_NT_CUT_REF,WW_USTAR_PERCENTILE,53.75,-9999
29,GPP_NT_CUT_REF,WW_USTAR_THRESHOLD,0.0693857,-9999
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,43.75,2010
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.0701625,2010
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,43.75,2011
