TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20100101,-25.616,0.0,3.89721,1.198,0.0,189.922,0.0,0.222,0.0,99.673,0.0,0.05,0.0,1.663,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.23963,0.0,1.17009,-9999,-9999,-9999,1.33102,0.0,0.260043,-9999,-9999,-9999,0.284433,0.0,-9999,0.256139,0.284433,0.363951,0.0,0.0,0.0,0.0290031,0.0290031,0.0316702,0.0345546,-0.250388,-0.326461,-0.249879,-0.225421,0.0589308,0.0580099,0.0589308,0.0590344,0.0,0.0,0.0,0.0,-9999,0.0
20100102,-34.138,0.0,4.15448,3.028,0.0,148.004,0.0,0.195,0.0,99.849,0.0,0.0,0.0,1.36,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.41106,0.0,0.978662,-9999,-9999,-9999,0.563443,0.0,0.126013,-9999,-9999,-9999,0.244395,0.0,-9999,0.173632,0.244395,0.292911,0.0,0.0,0.0,0.000720181,0.000825726,0.00117127,0.00131153,-0.243118,-0.291848,-0.243099,-0.172426,0.0104972,0.0103331,0.0104972,0.0105157,0.0,0.0,0.0,0.0,-9999,0.0
20100103,-31.331,0.0,4.44261,3.09,0.0,173.404,0.0,0.22,0.0,99.974,0.0,0.0,0.0,1.971,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82798,0.0,1.14008,-9999,-9999,-9999,4.72698,0.0,1.19084,-9999,-9999,-9999,0.174477,0.0,-9999,0.174477,0.213589,0.239925,0.0,0.0,0.0,0.00574726,0.00602274,0.00701236,0.00784325,-0.166761,-0.232711,-0.205746,-0.180246,0.0243056,0.0239258,0.0243056,0.0243485,0.0,0.0,0.0,0.0,-9999,0.0
20100104,-19.824,0.0,4.76288,0.762,0.0,254.13,0.0,0.348,0.0,99.814,0.0,0.159,0.0,1.792,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.23963,0.0,1.30897,-9999,-9999,-9999,1.33102,0.0,0.349847,-9999,-9999,-9999,0.284433,0.0,-9999,0.256139,0.284433,0.363951,0.0,0.0,0.0,0.094148,0.086254,0.094148,0.0975175,-0.188353,-0.252203,-0.186916,-0.169885,0.100482,0.0989114,0.100482,0.100658,0.0,0.0,0.0,0.0,-9999,0.0
20100105,-18.831,0.0,5.11704,2.366,0.0,228.453,0.0,0.257,0.0,99.491,0.0,0.0,0.0,1.668,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.41106,0.0,0.934957,-9999,-9999,-9999,0.563443,0.0,0.128573,-9999,-9999,-9999,0.244395,0.0,-9999,0.173632,0.244395,0.292911,0.0,0.0,0.0,0.105397,0.0959513,0.105397,0.108508,-0.137486,-0.189487,-0.135887,-0.0758777,0.107747,0.106064,0.107747,0.107937,0.0,0.0,0.0,0.0,-9999,0.0
20100106,-14.99,0.0,5.50618,1.011,0.0,263.093,0.0,0.509,0.0,98.679,0.0,0.0,0.0,1.646,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82798,0.0,1.10454,-9999,-9999,-9999,4.72698,0.0,0.914869,-9999,-9999,-9999,0.174477,0.0,-9999,0.174477,0.213589,0.239925,0.0,0.0,0.0,0.17211,0.147981,0.165897,0.169013,-0.00926483,-0.0873496,-0.0476914,-0.0179168,0.135355,0.13324,0.135355,0.135593,0.0,0.0,0.0,0.0,-9999,0.0
20100107,-14.62,0.0,5.93215,1.772,0.0,250.674,0.0,0.351,0.0,98.549,0.0,0.0,0.0,1.574,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.23963,0.0,1.42595,-9999,-9999,-9999,1.33102,0.0,0.322959,-9999,-9999,-9999,0.284433,0.0,-9999,0.256139,0.284433,0.363951,0.0,0.0,0.0,0.179333,0.153452,0.17203,0.175127,-0.113086,-0.164519,-0.110523,-0.101836,0.137964,0.135808,0.137964,0.138207,0.0,0.0,0.0,0.0,-9999,0.0
20100108,-18.67,0.0,6.39613,2.042,0.0,222.53,0.0,0.314,0.0,98.838,0.0,0.0,0.0,3.669,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.41106,0.0,1.42849,-9999,-9999,-9999,0.563443,0.0,0.170531,-9999,-9999,-9999,0.244395,0.0,-9999,0.173632,0.244395,0.292911,0.0,0.0,0.0,0.108384,0.09827,0.108384,0.111146,-0.134888,-0.186862,-0.13325,-0.0735591,0.108916,0.107214,0.108916,0.109107,0.0,0.0,0.0,0.0,-9999,0.0
20100109,-24.993,0.0,6.89973,2.627,0.0,183.391,0.0,0.293,0.0,99.1,0.0,0.0,0.0,4.197,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82798,0.0,1.83284,-9999,-9999,-9999,4.72698,0.0,1.71595,-9999,-9999,-9999,0.174477,0.0,-9999,0.174477,0.213589,0.239925,0.0,0.0,0.0,0.0331708,0.0331708,0.0358501,0.0389695,-0.136081,-0.204225,-0.167404,-0.150368,0.0631173,0.0621309,0.0631173,0.0632284,0.0,0.0,0.0,0.0,-9999,0.0
20100110,-30.298,0.0,7.44452,5.144,0.0,134.75,0.0,0.276,0.0,99.395,0.0,0.0,0.0,4.966,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.23963,0.0,2.42717,-9999,-9999,-9999,1.33102,0.0,0.563503,-9999,-9999,-9999,0.284433,0.0,-9999,0.256139,0.284433,0.363951,0.0,0.0,0.0,0.00538715,0.00591598,0.00709131,0.00793377,-0.276648,-0.359633,-0.276532,-0.249062,0.02826,0.0278184,0.02826,0.0283098,0.0,0.0,0.0,0.0,-9999,0.0
