TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20100101,20100107,-22.764,0.0,4.83037,1.89,0.0,215.383,0.0,0.3,0.0,99.433,0.0,0.03,0.0,1.668,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.88528,0.0,0.979914,-9999,2.08199,0.0,0.525102,-9999,0.241578,0.0,-9999,0.219893,0.241578,0.295697,0.0,0.0,0.0,0.0837799,0.074646,0.0832938,0.0844715,-0.158351,-0.205052,-0.157106,-0.145247,0.0808676,0.0808987,0.082183,0.0823277,0.0,0.0,0.0,0.0,-9999,0.0
20100108,20100114,-28.301,0.0,8.1204,3.782,0.0,172.105,0.0,0.265,0.0,98.505,0.0,0.065,0.0,3.49,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.76691,0.0,1.42922,-9999,1.97233,0.0,0.748331,-9999,0.235858,0.0,-9999,0.207849,0.235858,0.280305,0.0,0.0,0.0,0.0243675,0.024136,0.025334,0.0272064,-0.209053,-0.255973,-0.208652,-0.183713,0.0424845,0.0425009,0.0431756,0.0432516,0.0,0.0,0.0,0.0,-9999,0.0
20100115,20100121,-25.899,0.0,13.567,4.637,0.0,203.74,0.0,0.268,0.0,96.873,0.0,0.305,0.0,2.404,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82647,0.0,2.538,-9999,2.56712,0.0,1.70271,-9999,0.22587,0.0,-9999,0.213815,0.226734,0.273745,0.0,0.0,0.0,0.0268642,0.0268642,0.0294928,0.0322463,-0.194099,-0.24024,-0.19717,-0.185141,0.0559477,0.0559692,0.0568577,0.0569579,0.0,0.0,0.0,0.0,-9999,0.0
20100122,20100128,-20.825,0.0,21.6202,9.09,0.0,206.856,0.0,0.295,0.0,99.096,0.0,0.016,0.0,2.712,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.88528,0.0,0.980565,-9999,2.08199,0.0,0.52545,-9999,0.241578,0.0,-9999,0.219893,0.241578,0.295697,0.0,0.0,0.0,0.0826292,0.0764087,0.0826292,0.086356,-0.156494,-0.203918,-0.155222,-0.143485,0.0917285,0.0917638,0.0932205,0.0933846,0.0,0.0,0.0,0.0,-9999,0.0
20100129,20100204,-20.618,0.0,32.6095,14.528,0.0,208.916,0.0,0.262,0.0,99.138,0.0,0.038,0.0,1.752,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.76691,0.0,4.20347,-9999,1.97233,0.0,2.20091,-9999,0.235858,0.0,-9999,0.207849,0.235858,0.280305,0.0,0.0,0.0,0.0943678,0.0848339,0.0943678,0.0959714,-0.141301,-0.182342,-0.139887,-0.123015,0.093567,0.093603,0.095089,0.0952564,0.0,0.0,0.0,0.0,-9999,0.0
20100205,20100211,-18.225,0.0,46.7125,18.46,0.0,213.795,0.0,0.37,0.0,97.688,0.0,0.144,0.0,2.371,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82647,0.0,2.81421,-9999,2.56712,0.0,1.88801,-9999,0.22587,0.0,-9999,0.213815,0.226734,0.273745,0.0,0.0,0.0,0.130752,0.113507,0.12725,0.130065,-0.0991981,-0.135655,-0.109704,-0.0933412,0.110165,0.110207,0.111957,0.112154,0.0,0.0,0.0,0.0,-9999,0.0
20100212,20100218,-10.655,0.0,63.9512,33.753,0.0,227.915,0.0,0.717,0.0,98.074,0.0,0.018,0.0,2.152,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.88528,0.0,2.85746,-9999,2.08199,0.0,1.53121,-9999,0.241578,0.0,-9999,0.219893,0.241578,0.295697,0.0,0.0,0.0,0.275931,0.222418,0.248372,0.251631,0.00634481,-0.0319398,0.00165554,0.0126945,0.160863,0.160925,0.163479,0.163767,0.0,0.0,0.0,0.0,-9999,0.0
20100219,20100225,-10.985,0.0,84.2041,30.685,0.0,246.116,0.0,0.71,0.0,98.705,0.0,0.342,0.0,2.181,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.76691,0.0,2.77041,-9999,1.97233,0.0,1.45057,-9999,0.235858,0.0,-9999,0.207849,0.235858,0.280305,0.0,0.0,0.0,0.270061,0.217969,0.243404,0.246587,0.00709471,-0.0314215,0.00853275,0.01337,0.15863,0.158691,0.161211,0.161494,0.0,0.0,0.0,0.0,-9999,0.0
20100226,20100304,-15.297,0.0,107.229,54.731,0.0,213.68,0.0,0.61,0.0,97.216,0.0,0.078,0.0,1.802,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.82647,0.0,2.81421,-9999,2.56712,0.0,1.88801,-9999,0.22587,0.0,-9999,0.213815,0.226734,0.273745,0.0,0.0,0.0,0.18929,0.156341,0.174771,0.177544,-0.0510988,-0.0858029,-0.0604372,-0.0445225,0.129314,0.129364,0.131418,0.131649,0.0,0.0,0.0,0.0,-9999,0.0
20100305,20100311,-13.74,0.0,132.689,63.64,0.0,218.054,0.0,0.925,0.0,96.287,0.0,0.579,0.0,2.557,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.88528,0.0,-3.0859,-9999,2.08199,0.0,-1.65363,-9999,0.241578,0.0,-9999,0.219893,0.241578,0.295697,0.0,0.0,0.0,0.221681,0.180562,0.20164,0.204201,-0.0403859,-0.0792267,-0.0441624,-0.0347352,0.139477,0.139531,0.141746,0.141996,0.0,0.0,0.0,0.0,-9999,0.0
