Tree #,0.0-0.5m,0.5-1.0m,1.0-1.5m,1.5-2.0m,2.0-2.5m,2.5-3.0m,3.0-3.5m,3.5-4.0m,4.0-4.5m,4.5-5.0m,5.0-5.5m,5.5-6.0m,Total (g)
pfrr_tree_1,7.95,0,28.1,116.51,0,0,0,0,0,0,0,0,152.56
pfrr_tree_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_3,112.2,211.48,143,79.8,34.9,0,0,0,0,0,0,0,581.38
pfrr_tree_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_6,0,61.5,93.1,156.35,179.78,112.55,1.56,0,0,0,0,0,604.84
pfrr_tree_7,15.76,71.83,55.42,0,0,0,0,0,0,0,0,0,143.01
pfrr_tree_8,41.91,25.38,31.44,0,0,0,0,0,0,0,0,0,98.73
pfrr_tree_9,37.5,87.6,99.94,0,0,0,0,0,0,0,0,0,225.04
pfrr_tree_10,52.2,29.72,41.25,56.4,70.22,0,0,0,0,0,0,0,249.79
pfrr_tree_11,21.98,3.92,0,0,0,0,0,0,0,0,0,0,25.9
pfrr_tree_12,44.96,1.66,0,0,0,0,0,0,0,0,0,0,46.62
pfrr_tree_13,36.3,0,0,0,0,0,0,0,0,0,0,0,36.3
pfrr_tree_14,38.82,12.34,0,0,0,0,0,0,0,0,0,0,51.16
pfrr_tree_15,0,0,0,0,16.7,24.54,36.66,33.87,0,0,0,0,111.77
pfrr_tree_16,7.99,155.2,0,18.41,58.39,0,54.93,0,0,0,0,0,294.92
pfrr_tree_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_19,0,0,18.97,0,220.1,120.2,113.59,216.26,285.65,0,0,0,974.77
pfrr_tree_20,43.85, ,30.4,109.2,21.7,65.13,35.5,64.6,136.9,33.28,2.2,,542.76
pfrr_tree_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_22,0,0,0,44.15,39.89,69.8,37.6,74.7,101.9,27.7,54.43,121.2,571.37
