Tree #,cut or not cut,Latitude,Longitude,DBH (cm),H (m),Height of lowermost green leavesH(m),Diameter at lowermost green leaves,Diameter at 0m(ground level),Maximum crown half width (cm) _1,Maximum crown half width (cm) _2,Maximum crown half width (cm) _3,Maximum crown half width (cm) _4,Total leaf area (m2),Total Mass (DW g),Foliage Mass (DW g),Branches Mass (DW g),Stem Mass (DW g)
pfrr_tree_1,cut,65.1243,-147.4894,2.6,2.099,0.02,42,41,0.23,0.48,0.22,0.21,0.6494,752.68,152.56,277.151,322.97
pfrr_tree_2,not cut,65.1243,-147.4893,1.3,1.683,0.018,33,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_3,cut,65.1242,-147.4893,2.2,2.303,0.11,56.5,57,NA,NA,NA,NA,2.4749,2433.03,581.38,1009.95,841.7
pfrr_tree_4,not cut,65.1242,-147.4891,3.6,3.065,1.1,40,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_5,not cut,65.1242,-147.4891,2.7,2.457,1.087,34,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_6,cut,65.1242,-147.4891,3.3,3.103,0.771,38,62,0.5,0.46,0.55,0.42,2.5748,2990.71,604.84,1131.735,1254.13
pfrr_tree_7,cut,65.1242,-147.4891,0.65,1.397,0.2,28.3,28,0.3,0.26,0.23,0.23,0.6088,499.55,143.01,152.09,204.45
pfrr_tree_8,cut,65.1242,-147.489,0.66,1.454,0.2,30.7,38, , , , ,0.4203,520.29,98.73,136.155,285.41
pfrr_tree_9,cut,65.1242,-147.489,1.33,1.533,0.263,30.9,37.1,0.32,0.7,0.35,0.39,0.958,978.85,225.04,468.4,285.41
pfrr_tree_10,cut,65.1242,-147.4889,2,2.457,0.225,43,50,0.22,0.37,0.21,0.55,1.0633,1766.13,249.79,803.03,713.31
pfrr_tree_11,cut,65.1242,-147.4891,NA,0.721,0.342,14.1,17.2,0.6,0.34,0.09,0.3,0.1103,180.08,25.9,100.974,53.2
pfrr_tree_12,cut,65.1242,-147.4892,NA,0.621,0.225,12.3,15.9,0.25,24,0.3,0.2,0.1985,117.23,46.62,44.495,26.12
pfrr_tree_13,cut,65.1243,-147.4892,NA,0.646,0.15,13.1,14.7,0.11,0.17,0.18,0.15,0.1545,86.51,36.3,27.915,22.29
pfrr_tree_14,cut,65.1243,-147.4891,NA,0.883,0.163,21.3,24,0.47,0.26,0.25,0.27,0.2178,282.87,51.16,154.225,77.49
pfrr_tree_15,cut,65.1243,-147.4892,3.6,3.723,2.037,36,64,NA,0.26,0.2,0.14,0.4758,3067.89,111.77,1122.825,1833.29
pfrr_tree_16,cut,65.1242,-147.4892,3.8,3.582,0.621,47,69,0.33,0.54,0.45,0.47,1.2555,3169.67,294.92,838.63,2036.12
pfrr_tree_17,not cut,65.1243,-147.4892,5.3,4.635,1.379,53,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_18,not cut,65.1242,-147.4893,5.5,4.66,0.721,62,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_19,cut,65.1242,-147.4896,7.8,4.835,2.203,66,106,0.39,0.58,0.49,0.52,4.1496,8543.26,974.77,726.705,6841.79
pfrr_tree_20,cut,65.1244,-147.4893,6.9,4.431,0.238,82,95,0.55,0.49,0.48,0.43,2.3105,8914.52,542.76,3201.3,5170.46
pfrr_tree_21,not cut,65.1244,-147.4893,5,5.584,2.099,41,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_22,cut,65.1244,-147.4892,7.7,6.081,0.592,83,92,0.5,0.5,0.38,0.44,2.4323,13679.38,571.37,4600.965,8507.04
