Tree #,0.0-0.5m_top,0.0-0.5m_middle,0.0-0.5m_bottom,0.5-1.0m_top,0.5-1.0m_middle,0.5-1.0m_bottom,1.0-1.5m_top,1.0-1.5m_middle,1.0-1.5m_bottom,1.5-2.0m_top,1.5-2.0m_middle,1.5-2.0m_bottom,2.0-2.5m_top,2.0-2.5m_middle,2.0-2.5m_bottom,2.5-3.0m_top,2.5-3.0m_middle,2.5-3.0m_bottom,3.0-3.5m_top,3.0-3.5m_middle,3.0-3.5m_bottom,3.5-4.0m_top,3.5-4.0m_middle,3.5-4.0m_bottom,4.0-4.5m_top,4.0-4.5m_middle,4.0-4.5m_bottom,4.5-5.0m_top,4.5-5.0m_middle,4.5-5.0m_bottom,5.0-5.5m_top,5.0-5.5m_middle,5.0-5.5m_bottom,5.5-6.0m_top,5.5-6.0m_middle,5.5-6.0m_bottom
pfrr_tree_1,3.24,3.64,4.45,2.42,2.96,3.03,1.75,2.29,2.61,1.13,1.47,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pfrr_tree_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_3,3.70,4.50,6.25,2.72,3.10,3.74,1.93,2.40,2.56,1.12,1.54,1.86,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pfrr_tree_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_6,4.00,4.60,6.20,3.25,3.62,4.47,3.03,3.43,3.68,2.65,2.67,3.02,1.87,2.13,2.30,0.80,1.48,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pfrr_tree_7,2.05,2.38,3.01,1.28,1.70,2.26,0.07,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pfrr_tree_8,2.40,2.91,3.15,1.68,1.92,2.66,0.37,1.24,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pfrr_tree_9,2.64,2.76,3.41,1.56,2.06,2.52,0.62,1.10,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pfrr_tree_10,3.50,0.40,0.53,2.51,2.83,3.30,1.85,2.18,2.80,1.29,1.65,1.97,1.18,1.26,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
