Tree #,0.0-0.5m,0.5-1.0m,1.0-1.5m,1.5-2.0m,2.0-2.5m,2.5-3.0m,3.0-3.5m,3.5-4.0m,4.0-4.5m,4.5-5.0m,5.0-5.5m,5.5-6.0m,Total (DW g)
pfrr_tree_1,297.30,185.29,108.22,26.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,617.29
pfrr_tree_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_3,405.33,218.67,163.83,53.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,841.70
pfrr_tree_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_6,473.44,297.34,211.52,162.30,78.24,31.29,0.00,0.00,0.00,0.00,0.00,0.00,1254.13
pfrr_tree_7,139.09,57.86,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.45
pfrr_tree_8,174.03,92.75,18.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.41
pfrr_tree_9,176.99,97.34,28.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,302.74
pfrr_tree_10,353.49,192.06,103.34,57.09,7.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,713.31
pfrr_tree_11,53.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.20
pfrr_tree_12,26.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.12
pfrr_tree_13,22.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.29
pfrr_tree_14,63.49,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.49
pfrr_tree_15,601.11,402.65,282.29,232.60,162.29,101.07,51.28,0.00,0.00,0.00,0.00,0.00,1833.29
pfrr_tree_16,706.59,480.45,316.70,234.41,163.34,92.70,41.95,0.00,0.00,0.00,0.00,0.00,2036.12
pfrr_tree_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_19,1573.26,1317.98,1087.23,886.87,699.75,534.29,396.51,218.92,120.25,6.73,0.00,0.00,6841.79
pfrr_tree_20,1387.15,1015.14,737.45,568.10,489.73,411.36,324.29,158.34,78.91,0.00,0.00,0.00,5170.46
pfrr_tree_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_22,1515.45,1277.73,1126.43,940.11,1156.87,700.21,578.44,444.48,365.33,216.50,143.00,42.50,8507.04
