#,tree#,Subplot #<E-W>,Subplot #<S-N>,X (E-W) (m),Y (S-N) (m),Species,DBH_2010 (cm),TreeHeight_2010 (m),Canopy projection (cm)_2010_N,Canopy projection (cm)_2010_W,Canopy projection (cm)_2010_S,Canopy projection (cm)_2010_E,Lowest foliage height_2010 (m),DBH2014 (cm),TreeHeight_2014 (m)
1,J1,1,1,1.35,0.17,Picea mariana,2.1,2.1,NA,NA,NA,NA,NA,2.2,2.51
2,J2,1,1,4.2,0.13,Picea mariana,3.7,3.16,NA,NA,NA,NA,NA,3.64,3.15
3,J3,1,1,5.93,0.72,Picea mariana,5.6,5,NA,NA,NA,NA,NA,5.8,5
4,J4,1,1,8.27,0.3,Picea mariana,2.7,2.48,27,15,35,NA,0.2,2.7,2.59
5,J5,1,1,8.6,0.3,Picea mariana,3.9,3.28,NA,NA,NA,NA,NA,4,3.33
6,J6,1,1,8.74,0.14,Picea mariana,3.1,3,NA,NA,NA,NA,NA,3,3.08
7,J8,1,1,5.3,3.26,Picea mariana,6.7,5,NA,NA,NA,NA,NA,6.4,5.3
8,J9,1,1,2.05,2.77,Picea mariana,0.6,1.46,NA,NA,NA,NA,NA,0.5,1.43
9,J10,1,1,3.6,1.3,Picea mariana,0.6,1.39,NA,NA,NA,NA,NA,0.91,1.51
10,J11,1,1,1.5,2.41,Picea mariana,3.4,2.84,NA,NA,NA,NA,NA,3.1,3.02
11,J12,1,1,0.5,1.95,Picea mariana,5.9,4.39,NA,NA,NA,NA,NA,6.9,4.69
12,J13,1,1,0.2,2.05,Picea mariana,0.3,1.32,NA,NA,NA,NA,NA,0.5,1.28
13,J14,1,1,0.55,3.9,Picea mariana,2.5,1.97,NA,NA,NA,NA,NA,2.6,1.98
14,J15,1,1,5.4,4.3,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,0.65,1.41
15,J16,1,1,6.3,4.45,Picea mariana,0.7,1.36,NA,NA,NA,NA,NA,0.88,1.5
16,J17,1,1,7.5,5.33,Picea mariana,5.1,5.9,NA,NA,NA,NA,NA,5.2,7.6
17,J18,1,1,8.7,6.08,Picea mariana,0.5,1.42,NA,NA,NA,NA,NA,0.67,1.28
18,J19,1,1,9.1,5.66,Picea mariana,2.4,2.13,NA,NA,NA,NA,NA,2.34,2.2
19,J20,1,1,9.9,8.15,Picea mariana,1.6,1.85,NA,NA,NA,NA,NA,1.67,1.93
20,J21,1,1,7.1,7.93,Picea mariana,1.8,1.75,46,42,37,42,0.6,2.06,1.92
21,J22,1,1,6.5,5.86,Picea mariana,2,2.02,NA,NA,NA,NA,NA,1.98,2.1
22,J23,1,1,5.3,6.94,Picea mariana,3.6,3.1,53,35,NA,NA,0.8,3.37,3.26
23,J24,1,1,3.45,6.61,Picea mariana,1.6,1.72,NA,NA,NA,NA,NA,1.71,1.76
24,J25,1,1,1.75,5.32,Picea mariana,3.6,3.15,NA,NA,NA,NA,NA,3.3,3.29
25,J26,1,1,0.1,7.64,Picea mariana,3.6,3.25,NA,NA,NA,NA,NA,3.3,3.34
26,J27,1,1,0.8,7.87,Picea mariana,1.1,1.66,NA,NA,NA,NA,NA,1.4,1.75
27,J28,1,1,1,7.34,Picea mariana,1.4,1.85,NA,NA,NA,NA,NA,1.63,1.91
28,J29,1,1,1.8,7.41,Picea mariana,1.6,1.75,NA,NA,NA,NA,NA,1.78,1.85
29,J30,1,1,1.9,7.49,Picea mariana,2.1,1.79,NA,NA,NA,NA,NA,2.17,1.77
30,J31,1,1,2,7.24,Picea mariana,2.4,1.93,NA,NA,NA,NA,NA,2.44,1.91
31,J32,1,1,2.1,7.11,Picea mariana,1.4,1.52,NA,NA,NA,NA,NA,1.66,1.53
32,J33,1,1,2.3,7.36,Picea mariana,3.3,2.77,NA,NA,NA,NA,NA,3.94,2.91
33,J34,1,1,2.1,6.83,Picea mariana,3,2.21,NA,NA,NA,NA,NA,3.21,2.24
34,J35,1,1,6.1,9.88,Picea mariana,2.6,2.4,NA,NA,NA,NA,NA,2.53,2.41
35,J36,1,1,6.5,9.83,Picea mariana,2.6,2.77,NA,NA,NA,NA,NA,2.9,2.79
36,J37,1,1,7,9.84,Picea mariana,1.5,1.65,NA,NA,NA,NA,NA,1.46,1.66
