SiteID,Total Leaf Area (m^2),Ground area (m^2),LAI (m2/m^2),Leaf_Biomass (g / m^2),WoodyBiomass (g/m^2),Total_above_ground_biomass (g/m^2),Cloudberry_leaf_biomass  (g/m^2),Cotton_Grass_leaf_biomass (g/m^2),Bilberry_leaf_biomass (g/m^2),Cranberry_leaf_biomass (g/m^2),BogBirch_leaf_biomass (g/m^2),Black Spruce_leaf_biomass (g/m^2),Labrador Tea_leaf_biomass (g/m^2),Others_leaf_biomass (g/m^2),Cloudberry_woody_biomass  (g/m^2),Cotton_Grass_woody_biomass (g/m^2),Bilberry_woody_biomass (g/m^2),Cranberry_woody_biomass (g/m^2),BogBirch_woody_biomass (g/m^2),Black Spruce_woody_biomass (g/m^2),Labrador Tea_woody_biomass (g/m^2),Others_woody_biomass (g/m^2),Dry Material_biomass (g/m^2)
U-0,0.3366,0.25,1.347,175.24,111.24,286.48,33.08,7.68,2.64,58.8,5.6,25.8,27.8,13.84,6.84,0,5.08,18.8,17.6,18.52,29.8,1.6,13
U-1,0.1713,0.25,0.685,93.76,81.64,175.4,18.88,0,1.8,9.4,5,22.76,30.56,5.36,3.12,0,5.72,3.2,8.12,13.6,36.72,6.76,4.4
U-2,0.2131,0.25,0.852,93.2,59.6,152.8,35.6,0,6,15.6,0.8,4,26.8,4.4,5.2,0,20,4,0.4,3.2,26,0.8,0
U-3,0.1638,0.25,0.655,73.2,31.2,104.4,29.2,0,0.4,16,2.8,11.6,11.6,1.6,4,0,0,5.2,2,7.2,12.4,0.4,0
U-4,0.1242,0.25,0.497,70.28,50.28,120.56,5.96,12.6,7.6,11.6,0,0,32.52,0,0.96,0,13.6,2.8,0,0,23.36,0,9.56
U-5,0.2346,0.25,0.939,83.8,27.84,111.64,54.92,0,5,8.24,0,0,15.28,0.36,9.44,0,5.68,2.8,0,0,9.8,0.12,0
U-6,0.1211,0.25,0.484,53.52,14,67.52,23.08,2.16,0,11.2,0,0,16.84,0.24,2.96,0,0,2.8,0,0,6.64,0.56,1.04
U-7,0.2288,0.25,0.915,137.6,170.52,308.12,3.64,45.84,5.84,36.24,1.24,6.4,38.28,0.12,1.12,0,18.72,16.96,2.8,11.84,72.44,0.12,46.52
U-8,0.0806,0.25,0.322,30.2,8.16,38.36,13.65,0,0.31,7.88,0,0,1.12,0.47,1.49,0,0.09,4.03,0,0,0.59,0.12,0
U-9,0.1818,0.25,0.727,78.72,38.04,116.76,12.56,0,0.4,1.8,0.23,0,11.46,0.62,1.87,0,0.43,0.48,0.17,0,9.46,0.67,0
U-10,0.2021,0.25,0.808,82.2,32.76,114.96,37.52,0,5.12,6.04,0,0,25,8.52,5.32,0,5.96,1.24,0,0,16.16,4.08,0
U-11,0.2583,0.25,1.033,113.2,52,165.2,45.6,2,5.6,13.2,0,1.6,40,5.2,6,0,7.6,4,0,0.8,30,3.6,0
U-12,0.28,0.25,1.12,121.6,52.4,174,54.4,0,3.6,14.4,0,0,47.2,2,11.2,0,6.8,3.6,0,0,29.6,1.2,0
U-13,0.1921,0.25,0.768,68.96,25.04,94,42.84,0,0.32,2.88,0,0,10.2,12.72,6.68,0,0.44,0.44,0,0,7.84,7.76,1.88
U-14,0.2004,0.25,0.802,124,107.6,231.6,12,6.4,7.6,17.2,0,1.6,78.4,0.8,1.6,0,18.8,4.4,0,0.4,62,1.2,19.2
U-15,0.1458,0.25,0.583,64.4,48,112.4,21.2,0.8,3.6,4.4,4,0,24,6.4,2.4,0,13.2,1.2,9.2,0,20.4,1.6,0
Total,3.1347,4,0.784,1463.88,910.32,2374.2,444.13,77.48,55.83,234.88,19.67,73.76,437.05,62.64,70.2,0,122.12,75.95,40.29,55.56,393.21,30.6,95.6
Average BM (g m-2),,,,91.4925,56.895,148.3875,27.758125,4.8425,3.489375,14.68,1.229375,4.61,27.31625,3.915625,4.3875,0,7.6325,4.746875,2.518125,3.4725,24.575625,1.911875,5.975
Average LAI (m2 m-2),,,,,,,0.37783259,0.035460131,0.043332095,0.094726119,0.013560078,0.019624633,0.129619918,0.069844436,,,,,,,,,
Relative LAI (%),,,,,,,48,5,6,12,2,3,17,9,,,,,,,,,
Species,LMA(g/m^2),,,,,,,,,,,,,,,,,,,,,,
Cloudberry,73.46673039,,,,,,,,,,,,,,,,,,,,,,
Cranberry,154.9730959,,,,,,,,,,,,,,,,,,,,,,
Cotton grass,136.5618182,,,,,,,,,,,,,,,,,,,,,,
Labrador Tea,210.7411452,,,,,,,,,,,,,,,,,,,,,,
Bilberry,80.52633906,,,,,,,,,,,,,,,,,,,,,,
BogBirch,90.66135282,,,,,,,,,,,,,,,,,,,,,,
Black Spruce,234.9088573,,,,,,,,,,,,,,,,,,,,,,
