year;month;day;hour;minute;doy;Prec;P;Tair;U;Ustar;H2O;CO2;RH;Zen;LWin;diffPar;dirPar;diffNir;dirNir;DDsum;X;Tdaily;Tsoil;SWC
2021;1;1;0;30;1;0.008;97770.000;-4.360;1.370;0.339;4.527;390.000;100.000;2.416;314.700;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.460;69.840
2021;1;1;1;0;1;0.008;97780.000;-4.360;1.170;0.073;4.526;390.000;100.000;2.399;312.770;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.840
2021;1;1;1;30;1;0.006;97790.000;-4.060;0.940;0.041;4.629;390.000;100.000;2.372;315.960;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.830
2021;1;1;2;0;1;0.006;97800.000;-3.880;0.940;0.049;4.691;390.000;100.000;2.338;317.070;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.460;69.830
2021;1;1;2;30;1;0.007;97800.000;-3.150;1.290;0.068;4.955;390.000;100.000;2.296;317.060;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.830
2021;1;1;3;0;1;0.007;97800.000;-2.820;0.480;0.055;5.078;390.000;100.000;2.250;313.510;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.830
2021;1;1;3;30;1;0.006;97810.000;-3.000;0.490;0.033;5.010;390.000;100.000;2.199;311.810;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.830
2021;1;1;4;0;1;0.006;97820.000;-2.860;0.920;0.032;5.062;390.000;100.000;2.145;308.480;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.830
2021;1;1;4;30;1;0.004;97830.000;-2.840;0.810;0.020;5.069;390.000;100.000;2.089;306.360;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.830
2021;1;1;5;0;1;0.004;97840.000;-2.750;1.040;0.052;5.101;390.000;99.980;2.033;304.550;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.820
2021;1;1;5;30;1;0.003;97840.000;-3.110;1.020;0.027;4.968;390.000;100.000;1.976;298.720;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.820
2021;1;1;6;0;1;0.003;97830.000;-3.240;0.730;0.045;4.920;390.000;100.000;1.919;299.760;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.820
2021;1;1;6;30;1;0.002;97840.000;-2.860;1.470;0.084;5.061;390.000;100.000;1.864;304.790;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.820
2021;1;1;7;0;1;0.002;97860.000;-2.750;1.500;0.078;5.101;390.000;100.000;1.811;304.610;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.820
2021;1;1;7;30;1;0.001;97880.000;-2.720;1.750;0.070;5.111;390.000;99.980;1.761;291.230;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.820
2021;1;1;8;0;1;0.001;97870.000;-3.080;1.480;0.061;4.977;390.000;100.000;1.714;278.990;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.820
2021;1;1;8;30;1;0.011;97880.000;-2.880;1.999;0.062;5.051;390.000;100.000;1.671;291.090;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.810
2021;1;1;9;0;1;0.011;97900.000;-2.980;1.400;0.063;5.013;390.000;100.000;1.632;287.810;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.810
2021;1;1;9;30;1;0.006;97930.000;-3.000;1.210;0.077;5.004;390.000;100.000;1.599;297.830;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.810
2021;1;1;10;0;1;0.006;97950.000;-3.070;1.570;0.057;4.977;390.000;100.000;1.571;296.060;0.303;0.000;0.454;0.000;0.000;-5.372;-8.965;0.470;69.810
2021;1;1;10;30;1;0.004;97960.000;-2.870;2.040;0.100;5.050;390.000;99.980;1.549;298.570;0.936;0.000;1.403;0.000;0.000;-5.372;-8.965;0.470;69.800
2021;1;1;11;0;1;0.004;97980.000;-2.900;2.160;0.079;5.039;390.000;100.000;1.533;282.670;1.032;0.000;1.548;0.000;0.000;-5.372;-8.965;0.470;69.800
2021;1;1;11;30;1;0.002;98000.000;-2.950;2.270;0.095;5.019;390.000;100.000;1.524;287.940;1.988;0.000;2.982;0.000;0.000;-5.372;-8.965;0.470;69.800
2021;1;1;12;0;1;0.002;98010.000;-2.970;2.260;0.111;5.011;390.000;100.000;1.522;276.270;2.772;0.000;4.158;0.000;0.000;-5.372;-8.965;0.470;69.800
2021;1;1;12;30;1;0.003;98010.000;-3.420;1.920;0.066;4.846;390.000;100.000;1.527;252.580;2.588;0.000;3.882;0.000;0.000;-5.372;-8.965;0.470;69.800
2021;1;1;13;0;1;0.003;98010.000;-3.720;1.320;0.038;4.738;390.000;100.000;1.538;267.280;1.920;0.000;2.880;0.000;0.000;-5.372;-8.965;0.470;69.800
2021;1;1;13;30;1;0.004;98010.000;-3.590;1.600;0.062;4.784;390.000;100.000;1.557;271.410;1.436;0.000;2.154;0.000;0.000;-5.372;-8.965;0.470;69.800
2021;1;1;14;0;1;0.004;98010.000;-3.790;1.510;0.039;4.713;390.000;100.000;1.581;259.700;0.953;0.000;1.429;0.000;0.000;-5.372;-8.965;0.470;69.790
2021;1;1;14;30;1;0.003;98020.000;-4.090;1.030;0.029;4.608;390.000;100.000;1.611;242.510;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.470;69.790
2021;1;1;15;0;1;0.003;98030.000;-5.600;0.930;0.046;4.110;390.000;100.000;1.647;235.870;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.460;69.790
2021;1;1;15;30;1;0.001;98050.000;-7.530;0.320;0.049;3.543;390.000;100.000;1.687;231.350;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.460;69.790
2021;1;1;16;0;1;0.001;98060.000;-9.640;0.390;0.038;2.958;390.000;98.439;1.732;234.130;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.460;69.790
2021;1;1;16;30;1;0.001;98070.000;-8.580;0.310;0.033;3.225;390.000;98.782;1.780;235.550;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.450;69.790
2021;1;1;17;0;1;0.001;98060.000;-8.920;0.170;0.043;3.111;390.000;97.851;1.832;229.160;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.450;69.790
2021;1;1;17;30;1;0.001;98070.000;-8.300;0.380;0.031;3.274;390.000;98.105;1.886;225.360;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.440;69.780
2021;1;1;18;0;1;0.001;98070.000;-9.050;0.330;0.057;3.058;390.000;97.181;1.941;222.010;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.440;69.780
2021;1;1;18;30;1;0.000;98080.000;-9.550;0.390;0.036;2.921;390.000;96.563;1.998;226.940;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.430;69.780
2021;1;1;19;0;1;0.000;98100.000;-11.360;0.310;0.031;2.483;390.000;94.787;2.055;246.110;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.430;69.780
2021;1;1;19;30;1;0.000;98110.000;-9.940;0.260;0.035;2.818;390.000;96.073;2.111;271.950;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.780
2021;1;1;20;0;1;0.000;98120.000;-7.410;1.230;0.067;3.530;390.000;98.774;2.166;280.160;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.780
2021;1;1;20;30;1;0.001;98140.000;-5.770;1.500;0.035;4.053;390.000;100.000;2.219;279.310;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.770
2021;1;1;21;0;1;0.001;98150.000;-5.570;1.150;0.025;4.114;390.000;100.000;2.268;281.940;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.770
2021;1;1;21;30;1;0.002;98150.000;-5.550;1.260;0.050;4.121;390.000;100.000;2.313;281.470;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.770
2021;1;1;22;0;1;0.002;98150.000;-5.490;1.410;0.034;4.139;390.000;100.000;2.351;277.530;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.770
2021;1;1;22;30;1;0.005;98170.000;-5.610;1.000;0.058;4.101;390.000;100.000;2.383;271.040;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.770
2021;1;1;23;0;1;0.005;98190.000;-5.180;1.280;0.077;4.236;390.000;100.000;2.406;278.140;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.770
2021;1;1;23;30;1;0.004;98220.000;-5.240;2.357;0.065;4.216;390.000;100.000;2.419;282.000;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.770
2021;1;2;0;0;2;0.004;98240.000;-5.350;1.230;0.053;4.180;390.000;100.000;2.422;266.790;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.770
2021;1;2;0;30;2;0.002;98250.000;-5.920;1.370;0.041;4.002;390.000;100.000;2.415;267.690;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.770
2021;1;2;1;0;2;0.002;98260.000;-5.360;1.640;0.085;4.176;390.000;100.000;2.398;275.560;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.760
2021;1;2;1;30;2;0.002;98270.000;-5.480;1.280;0.038;4.138;390.000;100.000;2.371;276.900;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.760
2021;1;2;2;0;2;0.002;98270.000;-5.440;1.310;0.036;4.150;390.000;100.000;2.337;273.390;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.760
2021;1;2;2;30;2;0.001;98270.000;-5.340;1.300;0.041;4.182;390.000;100.000;2.296;273.150;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.760
2021;1;2;3;0;2;0.001;98280.000;-5.430;0.960;0.058;4.153;390.000;100.000;2.249;275.900;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.760
2021;1;2;3;30;2;0.001;98300.000;-6.000;1.030;0.042;3.975;390.000;99.974;2.198;262.330;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.430;69.760
2021;1;2;4;0;2;0.001;98300.000;-6.340;0.610;0.018;3.870;390.000;99.921;2.145;265.270;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.430;69.760
2021;1;2;4;30;2;0.001;98300.000;-6.830;0.520;0.029;3.720;390.000;99.727;2.089;243.270;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.430;69.760
2021;1;2;5;0;2;0.001;98310.000;-7.900;0.280;0.063;3.381;390.000;98.460;2.032;215.330;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.430;69.750
2021;1;2;5;30;2;0.000;98320.000;-9.640;0.490;0.062;2.887;390.000;96.335;1.975;213.520;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.430;69.750
2021;1;2;6;0;2;0.000;98330.000;-11.870;0.210;0.074;2.368;390.000;94.366;1.919;211.820;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.750
2021;1;2;6;30;2;0.000;98340.000;-12.370;0.140;0.030;2.264;390.000;93.924;1.864;211.280;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.740
2021;1;2;7;0;2;0.000;98360.000;-12.610;0.620;0.075;2.212;390.000;93.590;1.811;212.730;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.420;69.740
2021;1;2;7;30;2;0.000;98370.000;-13.720;0.290;0.034;2.002;390.000;92.702;1.760;211.690;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.410;69.740
2021;1;2;8;0;2;0.000;98400.000;-14.200;0.280;0.073;1.913;390.000;92.165;1.713;212.960;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.400;69.740
2021;1;2;8;30;2;0.000;98420.000;-14.390;0.310;0.087;1.881;390.000;92.092;1.670;214.390;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.400;69.740
2021;1;2;9;0;2;0.000;98450.000;-14.780;0.460;0.107;1.811;390.000;91.577;1.631;210.870;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.390;69.740
2021;1;2;9;30;2;0.000;98470.000;-15.230;0.230;0.029;1.738;390.000;91.204;1.598;211.990;0.000;0.000;0.000;0.000;0.000;-5.372;-8.965;0.380;69.740
2021;1;2;10;0;2;0.000;98490.000;-15.340;0.340;0.026;1.720;390.000;91.124;1.570;213.490;0.763;0.000;1.144;0.000;0.000;-5.372;-8.965;0.380;69.740
2021;1;2;10;30;2;0.000;98520.000;-15.560;0.230;0.032;1.684;390.000;90.906;1.547;211.070;1.955;0.000;2.932;0.000;0.000;-5.372;-8.965;0.370;69.730
2021;1;2;11;0;2;0.000;98550.000;-15.500;0.220;0.045;1.692;390.000;90.896;1.532;212.660;3.468;0.000;5.203;0.000;0.000;-5.372;-8.965;0.370;69.730
2021;1;2;11;30;2;0.000;98570.000;-15.410;0.100;0.044;1.707;390.000;91.018;1.523;248.110;0.492;0.000;0.738;0.000;0.000;-5.372;-8.965;0.360;69.730
