year;month;day;hour;minute;doy;Prec;P;Tair;U;Ustar;H2O;CO2;Zen;LWin;diffPar;dirPar;diffNir;dirNir;DDsum;X;Tdaily;Tsoil;SWC
2022;1;1;0;0;1;0.000;98464.600;-5.052;1.138;0.242;3.846;390.000;2.414;293.217;-0.210;-0.000;-0.290;-0.000;0.000;-7.521;-7.521;2.882;0.631
2022;1;1;0;30;1;0.000;98505.100;-5.064;1.101;0.240;3.850;390.000;2.373;293.297;-0.188;-0.000;-0.260;-0.000;0.000;-7.521;-7.521;2.891;0.631
2022;1;1;1;0;1;0.000;98536.300;-5.244;1.435;0.241;3.829;390.000;2.326;292.857;-0.161;-0.000;-0.223;-0.000;0.000;-7.521;-7.521;2.908;0.631
2022;1;1;1;30;1;0.000;98554.300;-5.413;1.666;0.352;3.788;390.000;2.272;292.106;-0.165;-0.000;-0.228;-0.000;0.000;-7.521;-7.521;2.923;0.631
2022;1;1;2;0;1;0.000;98602.400;-5.390;1.379;0.278;3.801;390.000;2.215;291.977;-0.159;-0.000;-0.219;-0.000;0.000;-7.521;-7.521;2.938;0.631
2022;1;1;2;30;1;0.000;98644.300;-5.251;1.269;0.308;3.815;390.000;2.154;292.387;-0.172;-0.000;-0.237;-0.000;0.000;-7.521;-7.521;2.952;0.631
2022;1;1;3;0;1;0.000;98673.400;-5.073;1.398;0.266;3.818;390.000;2.092;292.855;-0.218;-0.000;-0.301;-0.000;0.000;-7.521;-7.521;2.948;0.631
2022;1;1;3;30;1;0.000;98719.700;-4.962;1.129;0.298;3.818;390.000;2.029;293.396;-0.231;-0.000;-0.319;-0.000;0.000;-7.521;-7.521;2.947;0.631
2022;1;1;4;0;1;0.000;98774.700;-5.311;1.731;0.375;3.637;390.000;1.966;292.445;-0.261;-0.000;-0.361;-0.000;0.000;-7.521;-7.521;2.959;0.631
2022;1;1;4;30;1;0.000;98844.300;-5.560;1.662;0.285;3.597;390.000;1.904;290.867;-0.256;-0.000;-0.354;-0.000;0.000;-7.521;-7.521;2.978;0.631
2022;1;1;5;0;1;0.000;98909.500;-5.628;1.415;0.273;3.604;390.000;1.844;290.526;-0.229;-0.000;-0.317;-0.000;0.000;-7.521;-7.521;2.992;0.631
2022;1;1;5;30;1;0.000;98947.000;-5.925;1.219;0.259;3.514;390.000;1.786;289.139;-0.166;-0.000;-0.229;-0.000;0.000;-7.521;-7.521;2.972;0.631
2022;1;1;6;0;1;0.000;98994.600;-6.715;0.808;0.177;3.341;390.000;1.730;284.807;-0.325;-0.000;-0.449;-0.000;0.000;-7.521;-7.521;2.998;0.631
2022;1;1;6;30;1;0.000;99069.500;-7.089;1.041;0.237;3.230;390.000;1.679;281.946;-0.122;-0.000;-0.169;-0.000;0.000;-7.521;-7.521;2.980;0.631
2022;1;1;7;0;1;0.000;99115.700;-7.450;0.935;0.184;3.051;390.000;1.631;280.577;0.314;0.000;0.433;0.000;0.000;-7.521;-7.521;2.930;0.631
2022;1;1;7;30;1;0.000;99173.100;-7.986;0.986;0.162;2.941;390.000;1.589;278.280;1.379;0.000;1.905;0.000;0.000;-7.521;-7.521;2.899;0.631
2022;1;1;8;0;1;0.000;99233.700;-8.174;1.047;0.218;2.884;390.000;1.552;277.333;2.791;0.000;3.855;0.000;0.000;-7.521;-7.521;2.894;0.631
2022;1;1;8;30;1;0.000;99304.400;-8.351;1.179;0.151;2.866;390.000;1.522;276.996;3.966;0.000;5.476;0.000;0.000;-7.521;-7.521;2.862;0.631
2022;1;1;9;0;1;0.000;99362.900;-8.401;1.295;0.198;2.858;390.000;1.498;277.495;5.185;0.000;7.160;0.000;0.000;-7.521;-7.521;2.875;0.631
2022;1;1;9;30;1;0.000;99420.400;-8.363;1.058;0.236;2.884;390.000;1.481;277.690;6.773;0.000;9.354;0.000;0.000;-7.521;-7.521;2.869;0.631
2022;1;1;10;0;1;0.000;99449.500;-8.037;1.298;0.224;2.968;390.000;1.472;279.284;7.543;0.000;10.417;0.000;0.000;-7.521;-7.521;2.857;0.631
