year;month;day;hour;minute;doy;ALB_1_1_1;D_SNOW_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;PPFD_1_1_1;P_RAIN_1_1_1;RH_1_1_1;RN_1_1_1;SWIN_1_1_1;SWIN_POT;SWOUT_1_1_1;TA_1_1_1;WTD_1_1_1;PA_1_1_1;co2_flux_final_gf_ensemble_rand_err;co2_flux_final_gf_ensemble_sys_err;co2_flux_final_gf_ensemble;LE_final_gf_ensemble_rand_err;LE_final_gf_ensemble_sys_err;LE_final_gf_ensemble;Reco_gf_ensemble_NT;GPP_gf_ensemble_NT;SHF_mean;SWC_mean;TS_mean;H_final;lai;lai_F050;lai_std;lai_se;lai_uncertainty;lai_F005;lai_F095;lai_aoi_nan_percentage
2022;1;1;0;0;1;NaN;NaN;293.217;293.090;-0.001;0.000;90.170;-0.734;-0.500;0.000;0.361;-5.052;NaN;98.465;0.107;0.028;0.498;2.352;0.000;0.472;0.498;0.000;NaN;NaN;NaN;1.396;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;0;30;1;NaN;NaN;293.297;293.079;-0.002;0.000;90.366;-0.439;-0.448;0.000;0.210;-5.064;NaN;98.505;0.065;0.000;0.500;0.756;0.000;0.445;0.500;0.000;NaN;NaN;NaN;4.067;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;1;0;1;NaN;NaN;292.857;292.603;-0.001;0.000;91.139;-0.126;-0.384;0.000;-0.004;-5.244;NaN;98.536;0.100;0.000;0.704;0.645;0.000;-0.000;0.704;0.000;NaN;NaN;NaN;6.810;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;1;30;1;NaN;NaN;292.106;292.045;-0.001;0.000;91.359;-0.360;-0.393;0.000;0.028;-5.413;NaN;98.554;0.058;0.000;0.604;0.261;0.000;-0.346;0.604;0.000;NaN;NaN;NaN;10.451;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;2;0;1;NaN;NaN;291.977;292.123;-0.001;0.000;91.555;-0.765;-0.378;0.000;0.240;-5.390;NaN;98.602;0.111;0.000;0.597;0.185;0.000;-0.432;0.597;0.000;NaN;NaN;NaN;4.826;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;2;30;1;NaN;NaN;292.387;292.441;-0.001;0.000;90.963;-0.832;-0.409;0.000;0.369;-5.251;NaN;98.644;0.092;0.000;0.170;0.602;0.000;1.090;0.170;0.000;NaN;NaN;NaN;5.335;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;3;0;1;NaN;NaN;292.855;292.714;-0.001;0.000;89.842;-0.912;-0.519;0.000;0.533;-5.073;NaN;98.673;0.147;0.000;0.347;0.521;0.000;-0.149;0.347;0.000;NaN;NaN;NaN;7.278;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;3;30;1;NaN;NaN;293.396;292.965;-0.001;0.000;89.134;-0.536;-0.549;0.000;0.418;-4.962;NaN;98.720;0.072;0.000;0.487;0.931;0.000;1.301;0.487;0.000;NaN;NaN;NaN;10.388;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;4;0;1;NaN;NaN;292.445;289.207;-0.001;0.000;87.225;2.739;-0.622;0.000;-0.122;-5.311;NaN;98.775;0.177;0.000;0.466;1.433;0.000;-0.848;0.466;0.000;NaN;NaN;NaN;-3.066;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;4;30;1;NaN;NaN;290.867;288.783;-0.001;0.000;87.972;1.217;-0.611;0.000;0.256;-5.560;NaN;98.844;0.052;0.000;0.544;0.874;0.000;1.191;0.544;0.000;NaN;NaN;NaN;-4.694;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;5;0;1;NaN;NaN;290.526;288.184;-0.001;0.000;88.666;1.533;-0.546;0.000;0.263;-5.628;NaN;98.909;0.061;0.000;0.472;0.708;0.000;-1.955;0.472;0.000;NaN;NaN;NaN;5.597;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;5;30;1;NaN;NaN;289.139;278.555;-0.001;0.000;88.467;10.507;-0.395;0.000;-0.317;-5.925;NaN;98.947;0.074;0.000;0.423;1.406;0.000;-1.024;0.423;0.000;NaN;NaN;NaN;-5.648;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;6;0;1;NaN;NaN;284.807;268.228;0.003;0.000;89.389;16.151;-0.774;0.000;-0.346;-6.715;NaN;98.995;0.061;0.000;0.373;1.216;0.000;-7.530;0.373;0.000;NaN;NaN;NaN;-22.955;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;6;30;1;NaN;NaN;281.946;266.026;0.098;0.000;89.025;14.995;-0.291;0.000;0.635;-7.089;NaN;99.070;0.097;0.000;0.501;2.533;0.000;-10.650;0.501;0.000;NaN;NaN;NaN;-29.151;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;7;0;1;NaN;NaN;280.577;263.507;1.245;0.000;86.497;15.998;0.747;0.000;1.819;-7.450;NaN;99.116;0.098;0.000;0.423;1.636;0.000;-8.562;0.423;0.000;NaN;NaN;NaN;-27.511;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2022;1;1;7;30;1;NaN;NaN;278.280;260.556;5.162;0.000;86.987;15.045;3.284;0.022;5.963;-7.986;NaN;99.173;0.078;0.000;0.506;1.567;0.000;-6.656;0.506;0.000;NaN;NaN;NaN;-32.768;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
