Year;Month;Day;Hour;Minute;Tair;RH;Prec;Snowdepth
2013;1;1;0;0;-6.00000;93.00000;0.00000;0.47000
2013;1;1;0;30;-6.00000;93.00000;0.00000;0.47000
2013;1;1;1;0;-6.00000;93.00000;0.00000;0.47000
2013;1;1;1;30;-6.00000;94.00000;0.00000;0.47000
2013;1;1;2;0;-6.00000;94.00000;0.00000;0.47000
2013;1;1;2;30;-5.80000;94.00000;0.00000;0.47000
2013;1;1;3;0;-5.80000;94.00000;0.00000;0.47000
2013;1;1;3;30;-5.80000;94.00000;0.00000;0.47000
2013;1;1;4;0;-5.80000;94.00000;0.00000;0.47000
2013;1;1;4;30;-5.90000;95.00000;0.00000;0.47000
2013;1;1;5;0;-5.90000;95.00000;0.00000;0.47000
2013;1;1;5;30;-5.80000;95.00000;0.00000;0.47000
2013;1;1;6;0;-5.70000;95.00000;0.00000;0.47000
2013;1;1;6;30;-5.60000;95.00000;0.00000;0.47000
2013;1;1;7;0;-5.50000;95.00000;0.00000;0.47000
2013;1;1;7;30;-5.40000;95.00000;0.00000;0.47000
2013;1;1;8;0;-5.30000;95.00000;0.00000;0.47000
2013;1;1;8;30;-5.10000;94.00000;0.00000;0.47000
2013;1;1;9;0;-5.00000;95.00000;0.00000;0.47000
2013;1;1;9;30;-4.90000;94.00000;0.00000;0.47000
2013;1;1;10;0;-4.80000;94.00000;0.00000;0.47000
2013;1;1;10;30;-4.80000;94.00000;0.00000;0.47000
2013;1;1;11;0;-4.60000;95.00000;0.00000;0.47000
2013;1;1;11;30;-4.40000;95.00000;0.00000;0.47000
2013;1;1;12;0;-4.10000;95.00000;0.65000;0.47000
2013;1;1;12;30;-3.90000;95.00000;0.20000;0.47000
2013;1;1;13;0;-4.00000;96.00000;0.00000;0.47000
2013;1;1;13;30;-3.30000;96.00000;0.00000;0.47000
2013;1;1;14;0;-4.30000;95.00000;0.40000;0.47000
2013;1;1;14;30;-4.40000;96.00000;0.00000;0.46000
2013;1;1;15;0;-3.90000;96.00000;0.00000;0.47000
2013;1;1;15;30;-3.30000;96.00000;0.00000;0.47000
2013;1;1;16;0;-3.20000;95.00000;0.00000;0.46000
2013;1;1;16;30;-3.20000;95.00000;0.00000;0.46000
2013;1;1;17;0;-3.30000;95.00000;0.10000;0.46000
2013;1;1;17;30;-3.40000;95.00000;0.20000;0.47000
2013;1;1;18;0;-3.50000;94.00000;0.00000;0.48000
2013;1;1;18;30;-3.60000;94.00000;0.40000;0.48000
2013;1;1;19;0;-3.70000;93.00000;0.00000;0.48000
2013;1;1;19;30;-3.80000;94.00000;0.00000;0.48000
2013;1;1;20;0;-3.80000;94.00000;0.00000;0.48000
2013;1;1;20;30;-3.90000;93.00000;0.00000;0.48000
2013;1;1;21;0;-4.10000;93.00000;0.00000;0.48000
2013;1;1;21;30;-4.20000;94.00000;0.00000;0.48000
2013;1;1;22;0;-4.20000;94.00000;0.60000;0.48000
2013;1;1;22;30;-4.30000;94.00000;0.20000;0.48000
2013;1;1;23;0;-4.40000;94.00000;0.15000;0.48000
2013;1;1;23;30;-4.40000;94.00000;0.00000;0.48000
2013;1;2;0;0;-4.50000;94.00000;0.00000;0.48000
2013;1;2;0;30;-4.60000;94.00000;0.00000;0.49000
2013;1;2;1;0;-4.60000;94.00000;0.00000;0.49000
2013;1;2;1;30;-4.50000;94.00000;0.00000;0.49000
2013;1;2;2;0;-4.50000;94.00000;0.00000;0.49000
2013;1;2;2;30;-4.50000;94.00000;0.00000;0.48000
2013;1;2;3;0;-4.60000;94.00000;0.00000;0.48000
2013;1;2;3;30;-4.60000;94.00000;0.00000;0.48000
2013;1;2;4;0;-4.80000;94.00000;0.00000;0.49000
2013;1;2;4;30;-4.90000;95.00000;0.00000;0.49000
2013;1;2;5;0;-4.90000;95.00000;0.00000;0.49000
