site;tree;year;d18O;lower_limit;upper_limit;date_formation;date_maturation
Hyytiala;12;2015;22.0204;0;0.090909091;2015-05-13 00:00:00;2015-06-23 10:30:00
Hyytiala;12;2015;21.6174;0.090909091;0.181818182;2015-06-05 23:30:00;2015-07-04 18:30:00
Hyytiala;12;2015;21.094;0.181818182;0.272727273;2015-06-14 10:30:00;2015-07-14 09:30:00
Hyytiala;12;2015;21.2488;0.272727273;0.363636364;2015-06-21 06:00:00;2015-07-22 22:30:00
Hyytiala;12;2015;21.2749;0.363636364;0.454545455;2015-06-26 20:30:00;2015-07-30 20:00:00
Hyytiala;12;2015;20.8825;0.454545455;0.545454545;2015-07-01 19:00:00;2015-08-07 21:00:00
Hyytiala;12;2015;21.4994;0.545454545;0.636363636;2015-07-05 21:30:00;2015-08-16 12:00:00
Hyytiala;12;2015;20.5565;0.636363636;0.727272727;2015-07-10 22:00:00;2015-08-26 18:30:00
Hyytiala;12;2015;21.6901;0.727272727;0.818181818;2015-07-17 04:30:00;2015-09-09 14:00:00
Hyytiala;12;2015;21.5007;0.818181818;0.909090909;2015-07-24 12:00:00;2015-10-02 08:00:00
Hyytiala;12;2015;21.3954;0.909090909;1;2015-08-03 14:00:00;2015-11-04 19:30:00
