year;month;day;hour;minute;doy;Prec;P;Tair;U;Ustar;H2O;CO2;RH;Zen;LWin;diffPar;dirPar;diffNir;dirNir;DDsum;X;Tdaily;Tsoil;SWC
2015;1;1;0;30;1;0.003;102176.000;1.076;5.107;0.693;6.141;390.000;95.003;2.575;320.336;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.357;28.501
2015;1;1;1;0;1;0.000;102280.000;3.900;5.042;0.693;7.365;390.000;93.300;2.565;333.200;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.800;31.700
2015;1;1;1;30;1;0.000;102268.000;3.950;4.976;0.693;7.313;390.000;92.299;2.538;333.300;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.833;31.733
2015;1;1;2;0;1;0.000;102244.000;4.100;4.911;0.693;7.359;390.000;91.891;2.498;333.000;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.867;31.733
2015;1;1;2;30;1;0.000;102244.000;4.300;4.845;0.693;7.447;390.000;91.691;2.448;334.300;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.867;31.733
2015;1;1;3;0;1;0.000;102242.000;4.660;4.780;0.693;7.487;390.000;89.890;2.389;336.300;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.900;31.733
2015;1;1;3;30;1;0.000;102226.000;4.770;4.810;0.783;7.530;390.000;89.699;2.324;336.900;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.900;31.767
2015;1;1;4;0;1;0.000;102197.000;5.000;5.000;0.777;7.594;390.000;88.992;2.254;338.000;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.933;31.733
2015;1;1;4;30;1;0.000;102169.000;5.260;5.190;0.772;7.743;390.000;89.088;2.182;339.200;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.933;31.733
2015;1;1;5;0;1;0.000;102135.000;5.430;5.272;0.766;7.874;390.000;89.494;2.109;340.200;0.000;0.000;0.000;0.000;0.338;4.675;5.338;4.967;31.733
2015;1;1;5;30;1;0.000;102109.000;5.510;5.353;0.760;7.973;390.000;90.095;2.035;340.600;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.000;31.733
2015;1;1;6;0;1;0.000;102112.000;5.660;5.435;0.755;7.966;390.000;89.091;1.961;341.300;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.033;31.733
2015;1;1;6;30;1;0.000;102094.000;5.730;5.517;0.749;8.051;390.000;89.591;1.888;341.900;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.067;31.733
2015;1;1;7;0;1;0.000;102096.000;5.580;5.598;0.744;8.146;390.000;91.597;1.817;341.800;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.100;31.700
2015;1;1;7;30;1;0.000;102101.000;5.540;5.680;0.738;8.238;390.000;92.899;1.749;342.000;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.100;31.733
2015;1;1;8;0;1;0.000;102039.000;5.230;5.681;0.738;8.267;390.000;95.193;1.684;341.000;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.167;31.767
2015;1;1;8;30;1;0.000;102021.000;4.930;5.683;0.738;8.277;390.000;97.304;1.624;340.000;0.000;0.000;0.000;0.000;0.338;4.675;5.338;5.167;31.767
2015;1;1;9;0;1;0.000;102030.000;4.870;5.684;0.738;8.284;390.000;97.801;1.568;339.700;0.570;0.000;0.855;0.000;0.338;4.675;5.338;5.200;31.733
2015;1;1;9;30;1;0.000;102079.000;4.880;5.686;0.738;8.311;390.000;98.104;1.517;339.800;0.280;0.000;0.420;0.000;0.338;4.675;5.338;5.233;31.733
2015;1;1;10;0;1;0.000;102073.000;5.050;5.687;0.738;8.393;390.000;97.897;1.473;340.600;2.000;0.000;3.000;0.000;0.338;4.675;5.338;5.233;31.700
2015;1;1;10;30;1;0.000;102025.000;5.100;5.689;0.739;8.426;390.000;97.893;1.436;341.100;4.600;0.000;6.900;0.000;0.338;4.675;5.338;5.267;31.700
2015;1;1;11;0;1;0.000;102009.000;5.250;5.690;0.739;8.421;390.000;96.800;1.407;342.200;9.400;0.000;14.100;0.000;0.338;4.675;5.338;5.300;31.700
2015;1;1;11;30;1;0.000;101997.000;5.060;5.691;0.739;8.371;390.000;97.499;1.386;341.600;7.640;0.000;11.460;0.000;0.338;4.675;5.338;5.333;31.700
2015;1;1;12;0;1;0.000;101987.000;4.990;5.693;0.739;8.374;390.000;98.003;1.373;341.300;8.680;0.000;13.020;0.000;0.338;4.675;5.338;5.367;31.667
2015;1;1;12;30;1;0.000;101941.000;4.840;5.694;0.739;8.324;390.000;98.400;1.370;340.600;6.480;0.000;9.720;0.000;0.338;4.675;5.338;5.400;31.667
2015;1;1;13;0;1;0.000;101905.000;4.790;5.696;0.739;8.349;390.000;98.999;1.376;340.400;8.360;0.000;12.540;0.000;0.338;4.675;5.338;5.433;31.667
2015;1;1;13;30;1;0.000;101855.000;4.880;5.697;0.739;8.414;390.000;99.098;1.391;340.900;9.360;0.000;14.040;0.000;0.338;4.675;5.338;5.467;31.667
2015;1;1;14;0;1;0.000;101839.000;4.780;5.699;0.739;8.433;390.000;100.000;1.414;340.100;7.280;0.000;10.920;0.000;0.338;4.675;5.338;5.500;31.667
