TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-9.143,-9.459,1.708,-7.295,0.324,0.487,253.854,0.446,96.951,1.242,2.911
19890102,-14.253,-14.231,4.665,-14.377,0.526,2.148,207.747,0.412,97.968,0.208,2.223
19890103,-22.445,-22.342,1.75,-22.96,1.37,1.018,211.803,0.249,98.453,0.168,1.341
19890104,-24.586,-24.275,1.857,-26.141,0.278,2.951,178.463,0.194,99.328,0.034,1.837
19890105,-17.719,-18.323,2.932,-14.698,0.212,1.343,230.604,0.303,99.621,0.29,1.689
19890106,-17.881,-17.81,2.056,-18.24,0.768,0.997,232.308,0.356,98.804,0.368,2.33
19890107,-14.748,-14.754,0.417,-14.718,0.033,0.759,268.71,0.272,98.15,1.523,0.748
19890108,-19.818,-19.747,2.44,-20.171,0.154,2.922,204.914,0.213,97.567,0.134,1.171
19890109,-20.343,-21.174,2.281,-16.188,0.264,0.523,210.844,0.187,97.705,0.534,1.88
19890110,-18.87,-18.999,5.639,-18.225,1.636,2.494,212.466,0.355,97.195,0.407,2.345
19890111,-4.945,-5.67,2.647,-1.8,0.38,1.566,277.478,1.505,95.46,1.509,3.982
19890112,-14.198,-14.033,3.305,-14.825,0.607,0.594,256.539,0.212,96.67,3.781,2.527
19890113,-25.167,-25.167,3.822,-25.168,0.241,2.589,186.587,0.191,98.181,0.188,1.645
19890114,-28.091,-28.2,1.208,-27.678,0.479,1.238,199.719,0.208,97.285,0.526,2.051
19890115,-29.695,-29.645,1.291,-29.884,0.093,2.375,191.787,0.189,97.746,0.383,1.644
19890116,-32.393,-32.537,1.316,-31.844,0.026,1.89,189.718,0.185,97.71,0.656,1.944
19890117,-35.683,-35.776,1.135,-35.327,0.072,3.033,176.989,0.185,98.137,0.496,0.975
19890118,-38.272,-38.552,1.065,-37.208,0.54,3.718,150.668,0.182,99.18,0.094,0.882
19890119,-42.523,-42.639,0.954,-42.079,0.901,8.982,128.653,0.189,99.175,0.0,1.419
19890120,-45.212,-45.334,1.339,-44.747,0.566,9.371,124.142,0.186,98.539,0.0,0.855
19890121,-46.582,-46.932,0.736,-45.405,0.949,10.287,121.265,0.187,99.074,0.0,0.687
19890122,-44.338,-44.474,2.095,-43.93,1.296,10.819,128.105,0.191,98.989,0.0,1.809
19890123,-41.486,-41.964,0.654,-40.054,0.633,9.779,136.84,0.192,98.191,0.0,1.319
19890124,-42.843,-42.884,2.52,-42.72,1.598,12.683,134.601,0.186,98.166,0.0,1.541
19890125,-39.62,-39.848,2.202,-38.934,0.13,8.045,163.621,0.179,97.166,0.2,1.912
19890126,-45.259,-45.366,1.296,-44.94,0.136,12.459,121.522,0.176,97.472,0.0,1.269
19890127,-46.338,-46.72,1.084,-45.192,0.828,11.384,121.255,0.187,97.823,0.17,1.592
19890128,-44.474,-44.664,1.362,-43.905,1.076,8.632,134.604,0.183,98.416,0.277,1.465
19890129,-45.201,-45.701,1.818,-43.855,0.785,16.887,115.663,0.188,100.684,0.0,0.863
19890130,-46.074,-46.675,3.035,-44.455,1.997,18.278,118.918,0.195,102.614,0.0,1.358
19890131,-41.583,-42.115,2.27,-40.292,2.034,19.722,137.291,0.198,103.538,0.0,1.795
19890201,-36.751,-37.408,2.748,-35.153,2.295,20.615,151.964,0.222,103.351,0.0,2.16
19890202,-30.427,-31.245,1.842,-28.439,1.669,20.971,159.992,0.268,102.935,0.0,2.361
19890203,-28.261,-28.907,2.136,-26.694,2.363,23.289,162.717,0.303,102.805,0.0,1.393
19890204,-28.895,-29.518,1.803,-27.382,2.222,24.432,158.364,0.272,102.698,0.0,1.214
19890205,-25.649,-26.092,2.033,-24.571,1.834,24.387,182.046,0.32,101.913,0.0,1.094
19890206,-22.511,-22.836,2.753,-21.796,2.01,23.098,181.57,0.439,101.078,0.0,1.407
19890207,-18.322,-18.676,2.673,-17.543,0.918,10.964,243.313,0.462,100.612,0.0,2.149
19890208,-7.223,-8.174,2.926,-5.322,1.343,4.911,294.797,0.636,99.919,2.262,2.756
19890209,-4.951,-5.3,0.747,-4.253,1.29,15.976,264.032,1.106,100.385,0.248,3.056
19890210,-9.491,-8.901,3.172,-10.671,2.459,17.29,243.357,0.787,99.872,1.268,2.41
19890211,-2.317,-2.594,0.902,-1.765,0.207,10.238,296.574,0.974,100.079,4.628,4.018
19890212,-1.651,-1.98,0.615,-0.993,0.419,3.14,296.538,0.959,100.692,4.765,3.921
19890213,-7.965,-8.581,2.768,-6.735,1.524,37.134,215.102,0.559,100.27,0.011,1.337
19890214,-14.181,-14.934,3.283,-12.807,4.024,33.971,203.373,0.676,100.086,0.0,0.831
19890215,-17.186,-17.776,2.82,-16.109,2.772,26.959,229.245,0.418,100.95,0.0,0.846
19890216,-13.629,-14.762,1.083,-11.562,2.236,42.049,216.006,0.53,101.19,0.0,1.621
19890217,-14.941,-16.157,1.26,-12.916,3.02,45.851,199.615,0.522,100.669,0.0,1.222
19890218,-17.391,-18.455,1.441,-15.616,3.369,48.889,184.28,0.483,99.643,0.0,1.102
19890219,-17.044,-18.703,1.292,-14.278,3.243,50.627,196.06,0.559,98.744,0.0,1.749
19890220,-18.479,-19.909,1.089,-16.095,2.406,52.952,183.724,0.528,98.787,0.0,1.304
19890221,-12.0,-13.945,5.578,-8.758,2.217,17.448,254.619,0.62,98.343,0.175,2.072
19890222,-9.9,-11.022,2.824,-8.031,1.33,9.059,262.543,0.404,98.814,1.378,3.254
19890223,-19.664,-20.086,1.912,-19.021,2.854,48.359,193.867,0.313,100.27,0.009,1.331
19890224,-15.225,-15.274,6.484,-15.15,3.175,11.384,261.114,0.553,100.044,1.647,2.102
19890225,-1.535,-3.222,2.628,0.827,1.472,21.145,300.758,1.637,99.695,4.217,5.786
19890226,-10.442,-10.365,2.173,-10.55,0.274,37.776,241.891,0.627,101.583,1.136,4.199
19890227,-17.056,-17.854,2.373,-15.939,2.307,67.693,186.641,0.434,102.672,0.065,1.136
19890228,-11.576,-14.115,5.624,-8.021,2.717,21.791,250.318,1.808,101.626,0.0,3.168
19890301,-8.931,-8.768,1.847,-9.158,1.33,23.47,260.259,0.88,100.623,2.199,3.935
19890302,-12.361,-11.566,5.176,-13.473,1.516,43.214,242.734,0.486,99.132,2.803,3.956
19890303,-20.843,-20.769,3.032,-20.947,0.813,78.511,169.075,0.532,100.224,0.059,6.22
19890304,-25.814,-26.577,0.863,-24.833,1.794,85.883,144.882,0.372,100.402,0.0,3.812
19890305,-27.979,-28.989,1.515,-26.786,3.153,86.481,154.62,0.318,99.402,0.0,1.67
19890306,-26.572,-28.349,1.975,-24.471,3.687,87.884,158.078,0.382,99.09,0.0,0.992
19890307,-25.949,-27.946,2.397,-23.59,3.834,84.376,165.145,0.359,98.98,0.097,0.804
19890308,-26.135,-27.265,1.592,-24.8,2.921,99.076,146.285,0.344,99.829,0.0,2.15
19890309,-25.61,-27.477,3.365,-23.404,5.103,101.93,156.186,0.44,100.639,0.0,1.671
