TIMESTAMP_START,TIMESTAMP_END,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,19890107,-17.254,-17.313,2.198,-16.918,0.501,1.386,226.213,0.319,98.468,0.547,1.868
19890108,19890114,-18.776,-18.998,3.049,-17.722,0.537,1.704,221.221,0.41,97.152,1.011,2.229
19890115,19890121,-38.623,-38.774,1.12,-38.07,0.449,5.665,154.746,0.186,98.509,0.233,1.201
19890122,19890128,-43.48,-43.703,1.602,-42.811,0.814,10.543,134.364,0.185,98.032,0.092,1.558
19890129,19890204,-36.742,-37.367,2.236,-35.181,1.909,20.599,143.558,0.235,102.66,0.0,1.592
19890205,19890211,-12.923,-13.225,2.172,-12.274,1.437,15.266,243.67,0.675,100.551,1.201,2.413
19890212,19890218,-12.42,-13.235,1.896,-10.963,2.481,33.999,220.594,0.593,100.5,0.682,1.554
19890219,19890225,-13.407,-14.594,3.115,-11.501,2.385,30.139,236.098,0.659,99.242,1.061,2.514
19890226,19890304,-15.289,-15.716,3.012,-14.703,1.536,51.191,213.686,0.734,100.894,0.895,3.775
19890305,19890311,-23.462,-25.252,2.757,-21.347,4.053,93.653,170.541,0.517,99.827,0.014,1.574
19890312,19890318,-11.225,-13.132,2.47,-9.255,3.936,102.598,218.865,1.104,99.983,0.063,2.431
19890319,19890325,-12.469,-13.764,1.686,-11.323,2.657,91.679,227.521,0.853,98.86,0.363,3.237
19890326,19890401,-13.186,-15.649,3.295,-11.228,4.947,167.781,178.065,1.306,98.203,0.0,2.35
19890402,19890408,-4.899,-8.019,2.372,-2.756,4.189,154.313,231.136,2.041,99.536,0.169,1.926
19890409,19890415,0.995,-3.209,2.332,3.518,4.498,184.172,252.986,3.199,99.243,0.0,1.597
19890416,19890422,0.659,-1.949,1.422,2.06,2.975,165.347,276.151,2.553,98.816,0.117,2.168
19890423,19890429,5.355,2.595,1.225,6.609,2.778,152.986,303.91,3.258,99.135,0.229,2.151
19890430,19890506,5.766,3.715,1.705,6.546,2.509,166.426,300.588,3.331,99.372,1.063,1.835
19890507,19890513,2.104,0.376,1.365,2.663,2.027,163.84,293.698,2.627,98.885,1.319,2.065
19890514,19890520,6.123,3.322,1.666,6.877,2.796,190.89,299.737,3.678,98.916,0.972,1.712
19890521,19890527,7.624,4.626,1.449,8.293,2.818,189.137,308.527,4.338,99.069,0.577,1.754
19890528,19890603,12.182,8.7,1.088,12.777,3.009,244.967,312.936,5.989,99.172,0.514,2.44
19890604,19890610,11.529,8.918,0.79,11.87,2.447,215.037,321.436,4.976,99.166,1.131,2.389
19890611,19890617,13.374,10.757,1.106,13.678,2.671,237.476,323.897,6.959,98.548,0.646,3.05
19890618,19890624,14.822,12.588,1.057,15.082,2.456,226.465,332.866,6.965,99.102,4.313,2.11
19890625,19890701,15.18,12.901,1.018,15.445,2.126,201.086,343.233,4.597,99.133,4.594,1.754
19890702,19890708,19.607,15.537,1.143,20.154,3.455,284.825,337.157,11.256,99.628,0.143,1.784
19890709,19890715,18.424,15.858,0.841,18.838,2.287,224.977,353.603,7.697,99.193,1.36,1.697
19890716,19890722,13.377,11.422,1.667,13.768,2.048,166.492,341.753,3.841,99.197,3.783,1.776
19890723,19890729,13.73,11.037,1.758,14.422,2.715,181.971,335.907,5.075,99.262,1.553,1.999
19890730,19890805,14.197,12.686,1.121,14.667,1.625,121.495,356.663,3.087,98.739,2.437,1.765
19890806,19890812,16.329,13.602,1.276,17.313,2.72,179.462,345.182,5.964,99.219,0.814,1.978
19890813,19890819,13.962,11.61,1.396,14.957,2.62,151.061,337.987,5.232,99.175,1.158,1.466
19890820,19890826,13.567,11.55,1.547,14.581,2.42,146.281,331.719,5.912,98.945,0.235,2.208
19890827,19890902,11.951,9.851,1.371,13.154,2.154,120.077,324.396,3.885,98.478,0.997,1.882
19890903,19890909,11.597,9.915,2.051,12.699,2.655,102.32,330.898,3.333,99.396,1.243,2.141
19890910,19890916,6.869,5.453,1.39,7.96,1.34,98.478,298.085,1.814,99.335,3.124,2.01
19890917,19890923,2.863,1.556,1.766,3.987,2.473,92.697,277.468,2.738,98.309,0.453,3.142
19890924,19890930,5.086,3.727,1.783,6.415,2.211,70.163,298.1,1.523,98.489,1.286,1.785
19891001,19891007,4.355,3.425,1.31,5.398,1.664,54.348,289.032,2.314,97.784,0.686,2.773
19891008,19891014,-2.77,-3.609,0.993,-1.673,1.278,44.834,265.26,1.245,98.443,0.394,1.722
19891015,19891021,-4.175,-4.451,1.942,-3.786,0.839,14.342,293.306,0.696,97.764,2.267,2.245
19891022,19891028,-12.01,-12.168,2.039,-11.743,1.151,19.554,249.655,0.403,98.75,1.271,2.605
19891029,19891104,-11.681,-11.77,1.319,-11.51,0.658,9.74,262.066,0.361,98.619,0.908,2.578
19891105,19891111,-28.02,-28.306,1.672,-27.324,0.929,13.22,179.59,0.232,98.788,0.413,1.729
19891112,19891118,-21.841,-22.043,2.024,-21.278,0.803,7.941,215.17,0.216,98.33,0.614,1.97
19891119,19891125,-18.522,-18.47,1.091,-18.679,0.255,3.703,232.431,0.302,98.13,1.789,3.567
19891126,19891202,-22.814,-22.854,1.672,-22.684,0.402,3.368,205.931,0.237,97.846,0.101,2.375
19891203,19891209,-14.458,-14.322,1.119,-15.066,0.2,2.32,221.081,0.265,98.219,0.032,2.549
19891210,19891216,-7.731,-7.756,2.017,-7.583,0.284,1.242,261.66,0.427,98.976,1.604,1.989
19891217,19891223,-19.336,-19.325,1.31,-19.402,0.204,1.327,209.277,0.453,98.899,0.91,3.776
19891224,19891231,-21.269,-21.274,2.771,-21.236,0.36,1.165,207.268,0.266,98.125,0.584,1.955
19900101,19900107,-29.741,-29.74,1.121,-29.74,0.223,2.034,180.177,0.231,97.741,0.118,2.766
19900108,19900114,-25.78,-25.821,2.69,-25.615,0.536,2.486,197.894,0.219,97.521,0.729,1.801
19900115,19900121,-13.769,-13.666,2.112,-14.166,0.583,2.561,244.911,0.363,97.657,1.438,2.462
19900122,19900128,-27.699,-27.908,1.071,-27.072,0.432,8.389,188.165,0.23,98.164,0.274,1.791
19900129,19900204,-35.801,-36.1,0.994,-35.045,1.025,18.817,144.358,0.219,98.091,0.0,2.583
19900205,19900211,-38.685,-39.173,1.13,-37.662,1.454,25.006,144.477,0.201,98.509,0.064,1.258
