TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
1989,-3.839,-5.323,1.726,-3.017,2.009,100.415,266.201,2.514,98.979,364.359,2.167
1990,-4.189,-5.667,1.656,-3.408,1.893,101.935,266.539,2.541,98.708,483.536,2.04
1991,-2.813,-4.324,1.59,-2.002,1.918,104.821,267.426,2.649,98.56,406.576,2.314
1992,-4.172,-5.581,1.637,-3.441,1.864,103.647,264.314,2.286,98.603,438.268,2.26
1993,-1.149,-2.6,1.59,-0.354,1.922,105.83,274.156,2.728,98.68,437.216,2.215
1994,-3.474,-4.88,1.598,-2.691,1.89,100.097,269.208,2.516,98.572,405.92,2.206
1995,-2.752,-4.166,1.5,-1.983,1.875,99.771,267.966,2.551,98.771,285.241,2.198
1996,-4.589,-6.104,1.545,-3.776,1.987,108.059,257.664,2.474,98.987,318.372,2.068
1997,-2.543,-4.065,1.586,-1.758,1.985,108.487,265.646,2.642,98.587,307.291,2.102
1998,-2.821,-4.254,1.457,-1.998,1.961,100.972,264.504,2.389,98.471,312.42,2.2
1999,-4.801,-6.294,1.637,-3.974,2.073,105.984,259.333,2.935,98.443,303.423,2.115
2000,-2.444,-3.901,1.576,-1.635,1.956,103.68,266.692,2.434,98.64,364.391,2.162
2001,-2.492,-3.855,1.506,-1.755,1.917,101.45,268.056,2.34,98.409,307.418,2.151
2002,-1.285,-2.72,1.572,-0.549,1.966,103.26,272.279,2.575,98.719,433.926,2.125
2003,-2.013,-3.437,1.573,-1.263,1.935,108.255,267.583,2.85,98.645,351.176,2.184
2004,-1.81,-3.306,1.751,-1.004,2.14,109.757,270.937,3.425,98.711,317.661,2.148
2005,-1.734,-3.215,1.635,-0.934,2.1,108.257,270.111,3.14,98.563,365.38,2.195
2006,-3.566,-4.958,1.691,-2.809,1.989,102.307,262.799,2.722,98.588,300.864,2.177
2007,-2.604,-4.164,1.734,-1.729,2.237,110.509,263.89,3.223,98.582,313.887,1.969
2008,-4.19,-5.567,1.658,-3.44,2.008,99.572,262.368,2.635,98.645,324.878,2.213
2009,-2.686,-4.223,1.764,-1.833,2.136,109.151,265.719,3.411,98.775,275.088,2.128
2010,-2.027,-3.589,1.642,-1.096,2.145,106.781,266.881,3.236,98.508,290.714,2.178
2011,-2.887,-4.41,1.881,-1.977,2.193,104.259,263.8,2.939,98.495,308.568,2.104
2012,-4.335,-5.775,1.724,-3.519,2.03,104.516,260.657,3.156,98.624,259.295,2.248
2013,-2.318,-3.873,1.825,-1.503,2.169,111.385,268.998,3.678,98.901,317.613,2.286
2014,-1.678,-3.21,1.741,-0.774,2.156,104.056,268.566,2.772,98.675,373.599,2.231
