TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198901,-30.961,-31.162,2.029,-30.234,0.675,6.128,178.312,0.267,98.45,0.425,1.678
198902,-15.524,-16.314,2.464,-14.119,2.07,27.586,221.944,0.622,100.704,0.779,2.178
198903,-15.572,-17.136,2.536,-14.049,3.512,104.744,199.169,0.868,99.375,0.263,2.685
198904,0.472,-2.712,1.902,2.314,3.68,167.093,264.377,2.792,99.193,0.12,1.936
198905,6.287,3.76,1.465,6.948,2.569,181.393,304.247,3.736,98.973,0.96,1.886
198906,13.45,10.898,1.015,13.773,2.517,224.336,327.415,5.976,99.048,2.348,2.394
198907,16.201,13.534,1.344,16.687,2.502,209.525,342.913,6.676,99.258,1.873,1.818
198908,14.092,11.876,1.247,15.049,2.345,146.799,339.114,4.874,99.009,1.073,1.812
198909,6.912,5.433,1.813,8.077,2.201,92.967,302.319,2.533,98.813,1.483,2.302
198910,-4.691,-5.194,1.533,-4.051,1.183,31.6,270.761,1.087,98.358,1.06,2.43
198911,-21.289,-21.427,1.449,-20.914,0.595,7.088,217.45,0.258,98.231,0.868,2.319
198912,-16.099,-16.061,1.959,-16.264,0.291,1.569,223.621,0.346,98.477,0.732,2.577
199001,-25.232,-25.294,1.69,-25.064,0.506,5.187,197.385,0.257,97.878,0.578,2.315
199002,-31.11,-31.693,2.041,-30.046,1.704,30.018,174.931,0.257,98.668,0.743,1.771
199003,-7.629,-9.282,2.204,-6.027,2.923,88.607,238.923,1.312,98.725,0.64,2.032
199004,0.838,-1.814,1.817,2.379,3.073,158.766,265.726,2.566,99.372,0.302,1.977
199005,9.768,6.508,1.736,10.654,3.07,218.076,305.497,4.783,98.876,1.012,1.491
199006,14.005,11.299,0.945,14.345,2.484,235.802,327.941,5.404,98.729,2.31,1.783
199007,16.927,14.2,1.181,17.444,2.59,220.444,340.375,7.519,99.139,2.923,1.789
199008,13.802,11.679,1.305,14.662,2.3,145.952,339.586,4.668,98.924,2.102,2.039
199009,4.963,3.9,1.326,5.803,1.592,70.588,305.112,2.006,98.391,1.474,2.304
199010,-6.077,-6.733,1.202,-5.176,1.445,37.526,255.343,0.956,98.049,0.66,2.266
199011,-20.42,-20.558,2.113,-20.027,0.629,6.133,220.828,0.277,98.872,1.111,2.289
199012,-22.186,-22.241,2.338,-21.899,0.387,1.207,219.679,0.276,98.881,1.983,2.4
199101,-19.909,-20.026,2.05,-19.485,0.469,4.75,217.606,0.655,99.144,0.86,2.605
199102,-19.642,-20.155,1.629,-18.733,1.409,29.684,211.248,0.456,98.3,0.37,2.789
199103,-10.115,-11.366,2.307,-8.825,2.671,73.2,241.791,0.848,98.236,1.376,1.966
199104,0.981,-2.297,2.155,2.819,3.826,182.396,256.586,3.135,98.479,0.148,1.733
199105,8.605,5.151,1.6,9.574,3.032,224.926,291.787,5.422,98.579,0.657,2.203
199106,14.966,11.931,1.1,15.347,2.799,251.553,327.526,7.709,98.98,1.649,1.946
199107,13.737,11.518,1.082,14.162,2.108,198.355,334.565,4.608,98.993,2.932,1.898
199108,10.536,8.723,1.243,11.32,2.19,150.986,318.119,4.058,98.725,2.068,2.757
199109,7.341,5.803,1.692,8.555,2.228,91.689,302.368,3.117,98.56,0.966,2.294
199110,-4.631,-5.295,1.469,-3.684,1.421,35.713,263.134,0.93,99.064,0.887,2.119
199111,-17.562,-17.752,1.114,-17.105,0.604,9.862,219.368,0.421,98.438,0.545,2.908
199112,-19.149,-19.171,1.635,-19.015,0.268,1.212,220.737,0.333,97.205,0.801,2.589
199201,-20.257,-20.337,1.157,-19.96,0.263,4.177,217.372,0.316,97.517,0.652,2.622
199202,-20.548,-20.955,1.762,-19.817,1.375,27.299,214.032,0.388,98.616,0.738,2.311
199203,-9.229,-10.735,2.28,-7.774,3.056,92.557,229.507,1.35,98.475,0.266,2.118
199204,-4.343,-6.583,2.131,-3.152,2.972,155.312,253.282,1.775,99.022,1.016,2.213
199205,3.424,0.698,1.455,4.162,2.582,219.749,282.927,3.377,99.084,1.682,2.594
199206,14.091,11.077,1.069,14.461,2.871,244.182,323.176,6.303,98.947,2.404,1.931
199207,15.701,13.114,1.006,16.199,2.328,202.53,341.732,5.203,99.056,2.404,1.482
199208,12.477,10.448,1.452,13.348,2.33,152.826,326.877,4.81,98.863,1.13,2.156
199209,-1.419,-2.809,1.621,-0.352,2.104,97.652,267.635,2.023,98.705,1.301,2.33
199210,-7.516,-8.211,1.603,-6.569,1.432,37.234,252.847,0.719,98.38,0.862,2.229
